transfer_type,size_bytes,size_mb,latency_ms,bandwidth_gb_per_s,model,category,num_local_experts,num_tokens,batch_size
hbm_read,524288,0.5,0.001,855.1813884224464,deepseek-ai/DeepSeek-V3,bandwidth_sweep,,,
pcie_h2d,524288,0.5,0.03824407171962653,12.444510307575065,deepseek-ai/DeepSeek-V3,bandwidth_sweep,,,
pcie_d2h,524288,0.5,0.040533886698134534,12.456326994137733,deepseek-ai/DeepSeek-V3,bandwidth_sweep,,,
hbm_read,1048576,1.0,0.0011054453759042895,847.0857208595213,deepseek-ai/DeepSeek-V3,bandwidth_sweep,,,
pcie_h2d,1048576,1.0,0.07221481147425703,12.865892870115063,deepseek-ai/DeepSeek-V3,bandwidth_sweep,,,
pcie_d2h,1048576,1.0,0.0807524342204785,13.285156749662661,deepseek-ai/DeepSeek-V3,bandwidth_sweep,,,
hbm_read,2097152,2.0,0.0021574756783291744,911.4006234925595,deepseek-ai/DeepSeek-V3,bandwidth_sweep,,,
pcie_h2d,2097152,2.0,0.1369718309581512,14.49736744155048,deepseek-ai/DeepSeek-V3,bandwidth_sweep,,,
pcie_d2h,2097152,2.0,0.1526871007067812,13.235816847162162,deepseek-ai/DeepSeek-V3,bandwidth_sweep,,,
hbm_read,4194304,4.0,0.003703072962854418,1066.8345930604112,deepseek-ai/DeepSeek-V3,bandwidth_sweep,,,
pcie_h2d,4194304,4.0,0.23471871090586965,15.273469193100626,deepseek-ai/DeepSeek-V3,bandwidth_sweep,,,
pcie_d2h,4194304,4.0,0.25913592920443673,14.262060427139017,deepseek-ai/DeepSeek-V3,bandwidth_sweep,,,
hbm_read,8388608,8.0,0.006598953683664619,1254.850137238078,deepseek-ai/DeepSeek-V3,bandwidth_sweep,,,
pcie_h2d,8388608,8.0,0.40623189615721744,19.625541205573786,deepseek-ai/DeepSeek-V3,bandwidth_sweep,,,
pcie_d2h,8388608,8.0,0.45403385758324405,17.89404063029856,deepseek-ai/DeepSeek-V3,bandwidth_sweep,,,
hbm_read,16777216,16.0,0.009449331346104092,1741.775884829606,deepseek-ai/DeepSeek-V3,bandwidth_sweep,,,
pcie_h2d,16777216,16.0,0.6334541509564265,25.393781437644456,deepseek-ai/DeepSeek-V3,bandwidth_sweep,,,
pcie_d2h,16777216,16.0,0.6793718530696456,24.15684658205917,deepseek-ai/DeepSeek-V3,bandwidth_sweep,,,
hbm_read,33554432,32.0,0.018867079880272655,1635.1226980392191,deepseek-ai/DeepSeek-V3,bandwidth_sweep,,,
pcie_h2d,33554432,32.0,1.2787197775540577,23.693907711839998,deepseek-ai/DeepSeek-V3,bandwidth_sweep,,,
pcie_d2h,33554432,32.0,1.294067300826054,24.933311823661313,deepseek-ai/DeepSeek-V3,bandwidth_sweep,,,
hbm_read,67108864,64.0,0.037726978143667024,1706.8603685132716,deepseek-ai/DeepSeek-V3,bandwidth_sweep,,,
