n_cpu_moe,avg_cpu_weight_load_ms,avg_gpu_weight_load_ms,avg_compute_ms,avg_layer_total_ms,cpu_overhead_per_pass_ms,gpu_time_per_pass_ms,mean_e2e_latency_ms,p99_e2e_latency_ms,num_requests
0,0,1.6092,2.3097,5.2885,0,98.16,62019.41,89146.49,64
5,104.1667,1.6092,3.5166,13.8841,520.83,90.12,367099.58,393641.15,64
10,104.1667,1.6092,3.5166,22.158,1041.67,82.07,684817.49,779806.06,64
15,104.1667,1.6092,3.5166,30.432,1562.5,74.03,1002535.4,1166561.14,64
20,104.1667,1.6092,3.5166,38.7059,2083.33,65.98,1320253.3,1553316.22,64
25,104.1667,1.6092,3.5166,46.9799,2604.17,57.93,1637971.21,1940071.3,64
30,104.1667,1.6092,3.5166,55.2539,3125.0,49.89,1955689.12,2326826.37,64
35,104.1667,1.6092,3.5166,63.5278,3645.83,41.84,2273407.03,2713581.45,64
40,104.1667,1.6092,3.5166,71.8018,4166.67,33.79,2591124.94,3100336.53,64
45,104.1667,1.6092,3.5166,80.0757,4687.5,25.75,2908842.85,3487091.61,64
50,104.1667,1.6092,3.5166,88.3497,5208.33,17.7,3226560.76,3873846.69,64
55,104.1667,1.6092,3.5166,96.6236,5729.17,9.66,3544278.67,4260601.77,64
61,104.1667,0,3.5166,106.5524,6354.17,0,3925540.16,4724707.86,64
